order_id,order_date,customer_name,customer_phone,product_id,product_name,quantity,total_amount,discount_amount,status,comment,delivery_date,gift_card
2029636974237,2024-01-04 16:53:45,СЕРГЕЙ СиДоРОв,8(9764) 51-28,5,моЛОко,3,8721.07,278.93,cOMPLeteD,Всё отлично!,2024/01/09,9966785900289256
2029636974237,2024-01-04 16:53:45,СЕРГЕЙ СиДоРОв,8(9764) 51-28,3,АмУНицИЯ ДЛя сОбАк,5,4857.09,1142.91,CoMPLeTEd,Всё отлично!,2024/01/09,9966785900289256
2029636974237,2024-01-04 16:53:45,СЕРГЕЙ СиДоРОв,8(9764) 51-28,2,ИГРушКа мяч,3,732.49,167.51,coMPLETEd,Всё отлично!,2024/01/09,9966785900289256
2029636974237,2024-01-04 16:53:45,СЕРГЕЙ СиДоРОв,8(9764) 51-28,4,Подписка НА газеТУ,4,2193.43,206.57,COMPlETED,Всё отлично!,2024/01/09,9966785900289256
2029636973418,2024-01-11 09:03:23,АННА СмиРНОВа,8(9632) 89-10,3,АМУницИЯ Для СОБАК,5,5339.83,660.17,canceLLeD,Ждём с нетерпением!,2024-01-08,2772049469035242
2029636973418,2024-01-11 09:03:23,АННА СмиРНОВа,8(9632) 89-10,2,ИгрУШКА мЯЧ,2,488.06,111.94,cAnceLLeD,Ждём с нетерпением!,2024-01-08,2772049469035242
2029636973418,2024-01-11 09:03:23,АННА СмиРНОВа,8(9632) 89-10,1,кОрм дЛЯ СоБаК,5,2371.04,128.96,cAnCELLEd,Ждём с нетерпением!,2024-01-08,2772049469035242
2029636973418,2024-01-11 09:03:23,АННА СмиРНОВа,8(9632) 89-10,4,ПодПИСка нА гаЗетУ,4,2121.25,278.75,CANcelleD,Ждём с нетерпением!,2024-01-08,2772049469035242
2029636973418,2024-01-11 09:03:23,АННА СмиРНОВа,8(9632) 89-10,4,подПИсКА НА ГАЗЕТу,4,2176.93,223.07,CANceLled,Ждём с нетерпением!,2024-01-08,2772049469035242
2029636972552,2024-01-09 05:22:21,Иван ИвАНОВ,+7 9770 02 49,2,иГРУшка мЯЧ,5,1231.07,268.93,canCeLleD,Ждём с нетерпением!,2024-01-12,1784125880934907
