order_id,order_date,customer_name,customer_phone,product_id,product_name,quantity,total_amount,discount_amount,status,comment,delivery_date,gift_card
2029957422595,2024-05-30 17:13:49,сеРгЕй сидоРОв,8(9695) 61-76,3,АмУнИциЯ ДЛЯ СОБАК,1,1147.66,52.34,caNcelLED,"Задержка с доставкой, печалька...",2024-05-12,5685056755714344
2029957421878,2024/05/29 09:47:23,ДмИтРиЙ куЗнеЦоВ,+7 9046 94 77,1,кОРМ дЛя СОБаК,5,2138.35,361.65,COMpletEd,спасибо за заказ,2024-05-17,0433779440679205
2029957420394,2024/05/05 09:39:17,ЕлЕна нОвиКоВА,8(9004) 34-61,2,иГРушКА мЯЧ,2,578.83,21.17,COmPLETed,Нужно уточнить сроки,04.05.2024,2365913395279553
2029957420394,2024/05/05 09:39:17,ЕлЕна нОвиКоВА,8(9004) 34-61,2,ИгруШка мяЧ,4,1073.45,126.55,comPLeTed,Нужно уточнить сроки,04.05.2024,2365913395279553
2029957420394,2024/05/05 09:39:17,ЕлЕна нОвиКоВА,8(9004) 34-61,5,МОлокО,1,2412.53,587.47,cOmPlEtED,Нужно уточнить сроки,04.05.2024,2365913395279553
2029957420394,2024/05/05 09:39:17,ЕлЕна нОвиКоВА,8(9004) 34-61,2,ИГруШКа мЯЧ,2,575.08,24.92,COmpLetEd,Нужно уточнить сроки,04.05.2024,2365913395279553
2029957419559,2024-05-31 19:07:38,МАриЯ пЕТРОВа,+7 9572 52 10,2,ИГРУШка мяч,3,726.95,173.05,CoMpLetED,подарок вовремя,2024/05/16,7567869950975124
2029957419559,2024-05-31 19:07:38,МАриЯ пЕТРОВа,+7 9572 52 10,1,КоРМ ДлЯ СОБАк,1,463.24,36.76,COmpLEtED,подарок вовремя,2024/05/16,7567869950975124
2029957419559,2024-05-31 19:07:38,МАриЯ пЕТРОВа,+7 9572 52 10,1,КоРм дЛЯ собАк,2,928.08,71.92,COMPletED,подарок вовремя,2024/05/16,7567869950975124
2029957419559,2024-05-31 19:07:38,МАриЯ пЕТРОВа,+7 9572 52 10,5,мОЛОКо,4,11703.07,296.93,COMpLeTEd,подарок вовремя,2024/05/16,7567869950975124
2029957419559,2024-05-31 19:07:38,МАриЯ пЕТРОВа,+7 9572 52 10,4,ПОДпИсКа НА газЕтУ,1,515.49,84.51,COmPLeTeD,подарок вовремя,2024/05/16,7567869950975124
2029957418378,2024/05/21 00:21:59,МИхАиЛ орЛОв,+7(9684)25-75,2,ИгРУшкА мЯч,5,1430.44,69.56,prOcEsSiNG,Ждём с нетерпением!,2024-05-10,2592661430235460
2029957418378,2024/05/21 00:21:59,МИхАиЛ орЛОв,+7(9684)25-75,5,МоЛОко,3,8329.66,670.34,PrOCESsinG,Ждём с нетерпением!,2024-05-10,2592661430235460
2029957418378,2024/05/21 00:21:59,МИхАиЛ орЛОв,+7(9684)25-75,1,Корм для соБАк,5,2455.45,44.55,ProcESsinG,Ждём с нетерпением!,2024-05-10,2592661430235460
2029957418378,2024/05/21 00:21:59,МИхАиЛ орЛОв,+7(9684)25-75,2,игРУШка мЯЧ,1,242.4,57.6,PROcEsSInG,Ждём с нетерпением!,2024-05-10,2592661430235460
2029957417939,2024/05/26 02:42:36,НАТАлЬЯ ВАсиЛЬеВА,8(9587) 95-15,1,Корм дЛЯ сОБак,4,1926.56,73.44,CoMpLetED,Всё отлично!,2024/05/17,3997767174952769
2029957417939,2024/05/26 02:42:36,НАТАлЬЯ ВАсиЛЬеВА,8(9587) 95-15,4,ПОдПиСКА На гАЗЕТУ,4,2387.13,12.87,CoMPLeTED,Всё отлично!,2024/05/17,3997767174952769
2029957416452,2024-05-12 16:55:34,АНна сМирнОВа,+7(9266)82-88,3,АМунИцИя Для сОБаК,4,4301.96,498.04,ProcESSinG,Нужно уточнить сроки,2024/05/14,3801896427213093
2029957415710,2024-05-16 15:23:06,сЕРгей СиДоРоВ,+7 9210 85 61,1,КОРм длЯ СобАк,2,967.08,32.92,pRoCesSING,подарок вовремя,10.05.2024,5230470215615068
2029957414254,2024-05-31 02:47:41,ИвАН ИВаНоВ,8(9781) 60-67,4,подПИСКа нА ГаЗеТу,1,516.83,83.17,cOmPLeTed,спасибо за заказ,2024-05-18,2555993185426921
2029957414254,2024-05-31 02:47:41,ИвАН ИВаНоВ,8(9781) 60-67,2,игРуШКа МяЧ,4,1030.76,169.24,cOMpleTEd,спасибо за заказ,2024-05-18,2555993185426921
2029957413540,21.05.2024 13:12,ДМитРИЙ КузнЕцОв,+7 9377 85 73,4,ПоДПИска на ГазЕтУ,1,489.12,110.88,cOmPletEd,спасибо за заказ,2024/05/17,9324074643225293
2029957412665,19.05.2024 15:25,маРиЯ пЕТрОвА,+7(9672)54-53,4,подПИСКа НА ГаЗету,4,1954.33,445.67,proceSsiNG,Проверить наличие,09.05.2024,3931101269656246
2029957411127,2024/05/22 03:12:20,АннА сМирновА,8(9068) 98-31,1,КОРМ дЛЯ соБаК,5,2286.37,213.63,COmPlEteD,Проверить наличие,2024/05/05,2133936996305117
2029957411127,2024/05/22 03:12:20,АннА сМирновА,8(9068) 98-31,5,МолОко,2,4913.22,1086.78,ComPLeteD,Проверить наличие,2024/05/05,2133936996305117
2029957411127,2024/05/22 03:12:20,АннА сМирновА,8(9068) 98-31,5,МолОКО,1,2563.3,436.7,COMPLeTed,Проверить наличие,2024/05/05,2133936996305117
2029957411127,2024/05/22 03:12:20,АннА сМирновА,8(9068) 98-31,5,МоЛОКО,3,8315.24,684.76,CoMPlEtED,Проверить наличие,2024/05/05,2133936996305117
2029957410305,2024-05-05 02:56:53,миХАИЛ ОрЛОв,8(9299) 75-86,2,иГрУШка мЯЧ,3,723.12,176.88,comPLETEd,спасибо за заказ,29.05.2024,7474170731393490
2029957410305,2024-05-05 02:56:53,миХАИЛ ОрЛОв,8(9299) 75-86,1,КоРм ДЛя собАк,3,1480.17,19.83,cOmpLETED,спасибо за заказ,29.05.2024,7474170731393490
