order_id,order_date,customer_name,customer_phone,product_id,product_name,quantity,total_amount,discount_amount,status,comment,delivery_date,gift_card,order_id_fk,customer_id_fk,gift_card_id_fk
2029636101335,2024-01-01 00:15:00,Михаил Орлов,+7 (9435) 58-57,5,Молоко,2,5417.68,582.32,Processing,Нужно уточнить сроки,2024-01-24,0829129477023777,1,1,1
2029636930626,2024-01-01 00:29:00,Михаил Орлов,+7 (9049) 52-53,4,Подписка на газету,4,2244.86,155.14,Cancelled,Проверить наличие,2024-01-28,0768124501445669,2,1,2
2029636930626,2024-01-01 00:29:00,Михаил Орлов,+7 (9049) 52-53,5,Молоко,2,5665.23,334.77,Cancelled,Проверить наличие,2024-01-28,0768124501445669,2,1,2
2029636930626,2024-01-01 00:29:00,Михаил Орлов,+7 (9049) 52-53,1,Корм для собак,3,1203.77,296.23,Cancelled,Проверить наличие,2024-01-28,0829129477023777,2,1,1
2029636930626,2024-01-01 00:29:00,Михаил Орлов,+7 (9049) 52-53,4,Подписка на газету,1,496.29,103.71,Cancelled,Проверить наличие,2024-01-28,0768124501445669,2,1,2
2029635995788,2024-01-01 01:08:13,Алексей Михайлов,+7 (9879) 71-39,2,Игрушка мяч,5,1340.23,159.77,Completed,Подарок вовремя,2024-01-09,9515225760821750,3,2,3
2029635995788,2024-01-01 01:08:13,Алексей Михайлов,+7 (9879) 71-39,3,Амуниция для собак,2,2008.81,391.19,Completed,Подарок вовремя,2024-01-09,9515225760821750,3,2,3
2029635995788,2024-01-01 01:08:13,Алексей Михайлов,+7 (9879) 71-39,5,Молоко,4,10164.02,1835.98,Completed,Подарок вовремя,2024-01-09,9027112006447338,3,2,4
2029635995788,2024-01-01 01:08:13,Алексей Михайлов,+7 (9879) 71-39,1,Корм для собак,3,1395.99,104.01,Completed,Подарок вовремя,2024-01-09,9515225760821750,3,2,3
2029635995788,2024-01-01 01:08:13,Алексей Михайлов,+7 (9879) 71-39,5,Молоко,4,11676.38,323.62,Completed,Подарок вовремя,2024-01-09,9027112006447338,3,2,4
2029636113982,2024-01-01 01:11:14,Ольга Кузнецова,+7 (9704) 42-68,4,Подписка на газету,1,587.47,12.53,Completed,Подарок вовремя,2024-01-19,5389096356870688,4,3,5
2029636113982,2024-01-01 01:11:14,Ольга Кузнецова,+7 (9704) 42-68,2,Игрушка мяч,2,592.95,7.05,Completed,Подарок вовремя,2024-01-19,5465186240858011,4,3,6
2029635794765,2024-01-01 01:32:00,Сергей Сидоров,+7 (9830) 23-19,1,Корм для собак,5,2406.31,93.69,Cancelled,Проверить наличие,2024-01-28,1147744300886234,5,4,7
2029635794765,2024-01-01 01:32:00,Сергей Сидоров,+7 (9830) 23-19,2,Игрушка мяч,2,540.65,59.35,Cancelled,Проверить наличие,2024-01-28,1147744300886234,5,4,7
2029636109325,2024-01-01 02:45:33,Ольга Кузнецова,+7 (9330) 31-43,3,Амуниция для собак,2,2043.73,356.27,Completed,"Задержка с доставкой, печалька...",2024-01-28,5465186240858011,6,3,6
2029636109325,2024-01-01 02:45:33,Ольга Кузнецова,+7 (9330) 31-43,3,Амуниция для собак,3,3511.38,88.62,Completed,"Задержка с доставкой, печалька...",2024-01-28,5389096356870688,6,3,5
2029636109325,2024-01-01 02:45:33,Ольга Кузнецова,+7 (9330) 31-43,1,Корм для собак,1,492.64,7.36,Completed,"Задержка с доставкой, печалька...",2024-01-28,5389096356870688,6,3,5
2029636109325,2024-01-01 02:45:33,Ольга Кузнецова,+7 (9330) 31-43,1,Корм для собак,5,2485.73,14.27,Completed,"Задержка с доставкой, печалька...",2024-01-28,5389096356870688,6,3,5
2029636109325,2024-01-01 02:45:33,Ольга Кузнецова,+7 (9330) 31-43,2,Игрушка мяч,1,248.57,51.43,Completed,"Задержка с доставкой, печалька...",2024-01-28,5465186240858011,6,3,6
2029637039307,2024-01-01 02:58:39,Ольга Кузнецова,+7 (9593) 46-27,3,Амуниция для собак,3,3578.54,21.46,Completed,Нужно уточнить сроки,2024-01-03,5389096356870688,7,3,5
2029637039307,2024-01-01 02:58:39,Ольга Кузнецова,+7 (9593) 46-27,2,Игрушка мяч,1,255.53,44.47,Completed,Нужно уточнить сроки,2024-01-03,5465186240858011,7,3,6
2029637039307,2024-01-01 02:58:39,Ольга Кузнецова,+7 (9593) 46-27,2,Игрушка мяч,1,241.51,58.49,Completed,Нужно уточнить сроки,2024-01-03,5389096356870688,7,3,5
2029637039307,2024-01-01 02:58:39,Ольга Кузнецова,+7 (9593) 46-27,5,Молоко,3,8191.84,808.16,Completed,Нужно уточнить сроки,2024-01-03,5389096356870688,7,3,5
2029637039307,2024-01-01 02:58:39,Ольга Кузнецова,+7 (9593) 46-27,4,Подписка на газету,4,2183.75,216.25,Completed,Нужно уточнить сроки,2024-01-03,5389096356870688,7,3,5
2029636571950,2024-01-01 03:11:12,Мария Петрова,+7 (9985) 56-32,4,Подписка на газету,3,1701.99,98.01,Completed,Всё отлично!,2024-01-17,9645911883194436,8,5,8
2029636571950,2024-01-01 03:11:12,Мария Петрова,+7 (9985) 56-32,2,Игрушка мяч,2,554.32,45.68,Completed,Всё отлично!,2024-01-17,9645911883194436,8,5,8
2029637164642,2024-01-01 04:02:33,Мария Петрова,+7 (9880) 72-28,4,Подписка на газету,1,522.72,77.28,Cancelled,Нужно уточнить сроки,2024-01-16,9645911883194436,9,5,8
2029637164642,2024-01-01 04:02:33,Мария Петрова,+7 (9880) 72-28,4,Подписка на газету,1,519.02,80.98,Cancelled,Нужно уточнить сроки,2024-01-16,9645911883194436,9,5,8
2029637164642,2024-01-01 04:02:33,Мария Петрова,+7 (9880) 72-28,3,Амуниция для собак,3,3075.3,524.7,Cancelled,Нужно уточнить сроки,2024-01-16,9645911883194436,9,5,8
2029637164642,2024-01-01 04:02:33,Мария Петрова,+7 (9880) 72-28,4,Подписка на газету,1,489.76,110.24,Cancelled,Нужно уточнить сроки,2024-01-16,9645911883194436,9,5,8
2029635984331,2024-01-01 04:12:18,Анна Смирнова,+7 (9367) 15-35,4,Подписка на газету,5,2936.73,63.27,Processing,Подарок вовремя,2024-01-17,5008300071867573,10,6,9
2029635984331,2024-01-01 04:12:18,Анна Смирнова,+7 (9367) 15-35,3,Амуниция для собак,2,2143.55,256.45,Processing,Подарок вовремя,2024-01-17,5008300071867573,10,6,9
2029635984331,2024-01-01 04:12:18,Анна Смирнова,+7 (9367) 15-35,3,Амуниция для собак,4,4341.24,458.76,Processing,Подарок вовремя,2024-01-17,5008300071867573,10,6,9
2029636100883,2024-01-01 04:17:00,Анна Смирнова,+7 (9818) 03-51,1,Корм для собак,2,815.61,184.39,Completed,Всё отлично!,2024-01-05,5008300071867573,11,6,9
2029636100883,2024-01-01 04:17:00,Анна Смирнова,+7 (9818) 03-51,2,Игрушка мяч,5,1409.65,90.35,Completed,Всё отлично!,2024-01-05,5008300071867573,11,6,9
2029636100883,2024-01-01 04:17:00,Анна Смирнова,+7 (9818) 03-51,3,Амуниция для собак,4,4580.7,219.3,Completed,Всё отлично!,2024-01-05,5008300071867573,11,6,9
2029636100883,2024-01-01 04:17:00,Анна Смирнова,+7 (9818) 03-51,2,Игрушка мяч,5,1276.95,223.05,Completed,Всё отлично!,2024-01-05,5008300071867573,11,6,9
2029636100883,2024-01-01 04:17:00,Анна Смирнова,+7 (9818) 03-51,1,Корм для собак,4,1612.59,387.41,Completed,Всё отлично!,2024-01-05,5008300071867573,11,6,9
2029634764736,2024-01-01 04:17:58,Михаил Орлов,+7 (9193) 19-23,1,Корм для собак,4,1913.75,86.25,Processing,Всё отлично!,2024-01-14,0829129477023777,12,1,1
2029634764736,2024-01-01 04:17:58,Михаил Орлов,+7 (9193) 19-23,4,Подписка на газету,2,1167.99,32.01,Processing,Всё отлично!,2024-01-14,8813984916515647,12,1,10
